"Date","dotnet","CNTK","react-native-windows","ChakraCore","pxt","BotFramework-WebChat","sqltoolsservice","BusinessPlatformApps","Average"
"1","15","941","90","331","313","42","15","133","235"
"2","4","877","109","291","695","16","44","235","283"
"3","21","1126","86","369","908","67","34","306","364"
"4","53","1539","63","303","692","16","36","189","361"
"5","20","805","70","334","383","17","30","94","219"
"6","11","519","51","290","259","19","21","246","177"
"7","19","702","84","354","370","98","84","118","228"
"8","17","927","94","289","477","47","72","99","252"
"9","39","934","74","476","536","70","72","129","291"
"10","66","1526","124","493","467","156","129","22","372"
"11","134","909","58","454","255","123","55","222","276"
"12","19","717","75","221","226","47","69","126","187"
